tempo_ms,temperatura_C,distancia_cm
83,26.37,10.47
1755,26.37,10.64
2788,26.31,10.59
3821,26.31,10.30
4853,26.37,10.52
5886,26.31,11.00
6920,26.31,10.95
7953,26.31,11.42
8985,26.37,10.69
10018,26.31,11.65
11052,26.31,11.19
12085,26.31,11.71
13118,26.37,11.83
14789,26.37,11.95
16459,26.31,11.66
18131,26.31,11.71
19164,26.31,11.78
20197,26.31,11.93
21230,26.31,12.48
22263,26.31,12.44
23297,26.31,12.07
24330,26.31,12.61
25363,26.37,12.24
27034,26.37,12.33
28066,26.37,12.90
29739,26.31,13.02
31410,26.31,13.09
32442,26.37,13.21
34114,26.37,13.24
35147,26.37,13.38
36818,26.37,13.02
37852,26.31,13.09
38884,26.37,13.21
40556,26.37,14.14
41589,26.37,13.80
42622,26.37,13.43
44294,26.37,14.38
45327,26.31,14.04
46360,26.31,14.09
47393,26.31,13.74
48427,26.37,14.26
50098,26.37,14.33
51131,26.31,13.97
52164,26.31,14.93
53197,26.31,14.57
54231,26.31,14.62
55264,26.37,14.67
56297,26.37,14.74
57330,26.37,14.81
58363,26.31,14.45
59397,26.37,15.40
60430,26.37,15.45
61463,26.37,15.10
62496,26.31,15.16
63529,26.31,15.22
64563,26.31,15.28
65596,26.37,15.33
66629,26.37,14.98
67662,26.37,15.05
68696,26.37,15.10
69729,26.37,16.05
70762,26.37,16.10
71795,26.31,16.17
72828,26.37,15.91
73862,26.37,15.86
74895,26.37,15.93
75928,26.31,15.98
76961,26.31,16.05
77995,26.37,16.57
79667,26.37,16.64
80700,26.31,16.29
81733,26.31,16.35
82766,26.37,16.40
83800,26.37,16.47
84833,26.37,16.52
85866,26.37,16.57
86900,26.37,17.12
88571,26.37,17.17
89605,26.37,17.22
90638,26.31,17.29
91671,26.37,17.36
92704,26.37,17.00
94376,26.37,17.07
95410,26.31,17.12
96443,26.37,17.17
97476,26.31,17.24
98509,26.31,17.31
99544,26.37,17.36
100577,26.37,17.41
101610,26.37,17.46
102643,26.37,17.54
103676,26.37,17.60
104711,26.37,18.12
106382,26.37,18.09
107415,26.31,17.77
108448,26.37,17.88
110120,26.37,18.36
111154,26.37,18.41
112187,26.37,18.48
113221,26.31,18.53
114254,26.37,18.60
115288,26.37,18.65
116321,26.37,18.24
117355,26.37,18.31
118388,26.37,18.36
119421,26.37,18.41
120455,26.37,18.48
121489,26.31,18.53
122522,26.37,18.90
123555,26.37,19.07
124590,26.31,19.13
125623,26.37,19.19
126656,26.37,19.67
127690,26.37,19.31
129361,26.37,19.26
130395,26.37,19.41
131429,26.37,19.01
132462,26.37,19.07
133495,26.31,19.13
134530,26.37,19.19
136201,26.37,19.57
137234,26.31,19.72
138268,26.31,19.79
139301,26.31,19.26
140335,26.37,19.41
141369,26.31,19.89
142402,26.31,19.38
143435,26.37,19.96
144470,26.31,19.53
145503,26.37,19.91
146536,26.37,20.01
147570,26.31,19.60
148603,26.31,19.97
149637,26.37,20.08
150671,26.37,20.08
151704,26.37,19.99
152737,26.37,20.14
153772,26.31,20.14
154805,26.31,20.13
155838,26.37,20.16
156872,26.31,19.74
157905,26.37,19.72
158939,26.37,20.21
160611,26.37,20.20
161644,26.31,20.21
162678,26.37,20.20
163712,26.37,19.79
164746,26.37,19.79
166417,26.37,20.26
167450,26.31,20.26
168484,26.31,20.25
169518,26.37,20.25
170552,26.37,20.25
172223,26.37,19.84
173256,26.31,19.84
174290,26.31,19.84
175324,26.31,19.84
176357,26.37,19.84
177391,26.37,20.31
178424,26.31,20.31
179459,26.37,19.86
181130,26.37,19.84
182163,26.31,20.33
183197,26.31,20.31
184230,26.31,20.33
185265,26.31,20.31
186936,26.31,20.31
187969,26.37,20.33
189641,26.37,19.89
190674,26.31,19.89
191709,26.31,19.89
192742,26.31,19.89
193775,26.31,19.89
195447,26.31,19.79
196481,26.31,19.89
197515,26.31,19.89
198548,26.31,19.79
199581,26.31,19.91
200615,26.31,19.89
201649,26.31,20.37
202682,26.31,20.37
203716,26.37,20.37
204749,26.31,20.37
205784,26.31,20.37
206817,26.31,20.26
207850,26.31,20.37
208884,26.37,20.37
209917,26.31,20.37
210951,26.31,20.37
211985,26.31,20.37
213018,26.31,20.37
214052,26.31,20.37
215086,26.31,20.26
216119,26.31,20.38
217153,26.31,20.37
218186,26.31,20.37
219219,26.37,20.37
220892,26.37,19.86
221925,26.31,19.96
222959,26.31,19.96
223992,26.31,19.96
225026,26.31,19.96
226060,26.37,19.96
227093,26.31,19.96
228126,26.37,19.96
229160,26.31,19.96
230194,26.31,19.96
231227,26.37,19.96
232899,26.37,19.86
233932,26.37,19.96
234967,26.31,19.96
236000,26.37,19.91
237033,26.31,19.96
238067,26.31,19.96
239100,26.37,19.96
240134,26.31,19.96
241168,26.31,19.96
242201,26.37,19.96
243234,26.37,19.96
244907,26.37,19.96
245940,26.31,19.96
246974,26.31,19.96
248007,26.37,19.96
249040,26.37,19.96
250075,26.37,19.53
251108,26.31,19.96
252141,26.37,19.96
253175,26.31,19.97
254209,26.37,19.97
255242,26.37,19.96
256914,26.37,19.97
257947,26.31,19.97
258981,26.31,19.97
260015,26.37,19.96
261048,26.37,19.96
262082,26.37,19.53
263115,26.37,20.42
264150,26.37,19.55
265821,26.37,19.53
266854,26.37,19.97
267888,26.31,19.55
268921,26.37,19.55
269955,26.37,19.55
270989,26.31,19.53
272022,26.37,19.45
273055,26.31,19.96
274089,26.31,20.43
275123,26.37,20.43
276156,26.37,20.43
277190,26.37,19.55
278223,26.37,19.55
279257,26.31,20.43
280291,26.31,20.43
281324,26.31,20.43
282358,26.37,20.43
283392,26.37,20.33
284425,26.31,20.43
285459,26.31,20.43
286492,26.37,20.43
287525,26.37,20.43
289198,26.37,20.42
290231,26.31,20.43
291265,26.31,20.43
292298,26.37,20.43
293332,26.37,20.43
294366,26.31,20.31
295399,26.37,20.43
296433,26.31,20.43
297466,26.37,20.43
298500,26.37,20.43
300172,26.37,20.43
301205,26.31,20.43
302239,26.37,20.43
303272,26.31,20.43
304307,26.37,20.43
305340,26.37,20.33
306373,26.37,20.43
307407,26.31,20.43
308441,26.37,20.43
309474,26.37,20.43
310508,26.31,20.42
311541,26.37,20.43
