tempo_ms,temperatura_C,distancia_cm
83,26.06,21.32
1756,26.06,21.22
2789,26.06,21.32
3823,26.06,21.32
4856,26.06,21.22
5890,26.06,21.32
6924,26.06,20.91
7957,26.06,21.22
8990,26.06,21.32
10024,26.06,21.32
11058,26.06,21.22
12091,26.06,21.32
13125,26.06,21.34
14158,26.06,21.34
15193,26.06,21.22
16864,26.06,20.89
17898,26.06,20.91
19569,26.06,21.32
20603,26.06,21.23
22275,26.06,21.32
23309,26.00,21.32
24342,26.06,21.22
25375,26.06,21.32
26409,26.06,21.32
27443,26.00,21.32
28476,26.06,21.32
29510,26.06,21.22
30543,26.06,20.89
